draw,abstract_algebra,anatomy,astronomy,college_biology,college_chemistry,college_computer_science,college_mathematics,college_physics,computer_security,conceptual_physics,electrical_engineering,elementary_mathematics,high_school_biology,high_school_chemistry,high_school_computer_science,high_school_mathematics,high_school_physics,high_school_statistics,machine_learning,formal_logic,high_school_european_history,high_school_us_history,high_school_world_history,international_law,jurisprudence,logical_fallacies,moral_disputes,moral_scenarios,philosophy,prehistory,professional_law,world_religions,tvd_to_Pstar
stem80_draw0,2,1,2,2,0,2,2,2,2,4,2,6,7,4,1,5,2,5,0,0,0,1,1,0,0,0,1,3,1,1,4,1,0.1413
stem80_draw1,2,2,3,2,2,2,2,2,2,4,2,6,5,3,2,5,2,3,0,0,0,1,1,0,0,0,1,3,1,1,4,1,0.0960
stem80_draw2,2,2,2,2,2,2,2,2,2,4,2,6,5,3,2,4,2,3,2,0,0,1,1,0,0,0,1,3,1,1,4,1,0.0806
stem80_draw3,2,2,2,2,2,2,2,2,2,4,2,6,5,3,2,4,2,3,2,0,0,1,1,0,0,0,1,3,1,1,4,1,0.0806
stem80_draw4,2,2,2,2,2,2,2,2,2,4,2,6,5,3,2,4,2,3,2,0,0,1,1,0,0,0,1,3,1,1,4,1,0.0806
hum80_draw0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,1,1,1,1,1,2,2,3,1,1,2,4,10,3,3,17,2,0.0817
hum80_draw1,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,1,1,1,1,1,2,2,3,1,1,2,4,10,3,3,17,2,0.0817
hum80_draw2,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,1,1,1,1,1,2,2,3,1,1,2,4,10,3,3,17,2,0.0817
hum80_draw3,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,1,1,1,1,1,2,2,3,1,1,2,4,10,3,3,17,2,0.0817
hum80_draw4,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,1,1,1,1,1,2,2,3,1,1,2,4,10,3,3,17,2,0.0817
