draw,direction,method,adapter_id,shared,stem,hum,balanced,target_weighted,dsmc_minus_method_balanced,dsmc_minus_method_target_weighted
stem80_draw0,stem80,dsmc,pilot1pctES_stem80_draw0_dsmc_seed42,0,0.3552,0.4098,0.3825,0.3663,0.0000,0.0000
stem80_draw0,stem80,randk,pilot1pctES_randk_drawidx0_seed42,1,0.3568,0.4098,0.3833,0.3676,-0.0008,-0.0013
stem80_draw1,stem80,dsmc,pilot1pctES_stem80_draw1_dsmc_seed1,0,0.3593,0.4081,0.3837,0.3692,0.0000,0.0000
stem80_draw1,stem80,randk,pilot1pctES_randk_drawidx1_seed1,1,0.3428,0.4132,0.3780,0.3571,0.0057,0.0121
stem80_draw2,stem80,dsmc,pilot1pctES_stem80_draw2_dsmc_seed2,0,0.3660,0.4019,0.3840,0.3733,0.0000,0.0000
stem80_draw2,stem80,randk,pilot1pctES_randk_drawidx2_seed2,1,0.3492,0.3945,0.3718,0.3584,0.0121,0.0149
stem80_draw3,stem80,dsmc,pilot1pctES_stem80_draw3_dsmc_seed3,0,0.3425,0.4096,0.3760,0.3561,0.0000,0.0000
stem80_draw3,stem80,randk,pilot1pctES_randk_drawidx3_seed3,1,0.3673,0.4204,0.3938,0.3781,-0.0178,-0.0219
stem80_draw4,stem80,dsmc,pilot1pctES_stem80_draw4_dsmc_seed4,0,0.3628,0.3936,0.3782,0.3691,0.0000,0.0000
stem80_draw4,stem80,randk,pilot1pctES_randk_drawidx4_seed4,1,0.3574,0.4162,0.3868,0.3694,-0.0086,-0.0003
hum80_draw0,hum80,dsmc,pilot1pctES_hum80_draw0_dsmc_seed42,0,0.3597,0.4119,0.3858,0.4013,0.0000,0.0000
hum80_draw0,hum80,randk,pilot1pctES_randk_drawidx0_seed42,1,0.3568,0.4098,0.3833,0.3990,0.0025,0.0023
hum80_draw1,hum80,dsmc,pilot1pctES_hum80_draw1_dsmc_seed1,0,0.3546,0.4032,0.3789,0.3933,0.0000,0.0000
hum80_draw1,hum80,randk,pilot1pctES_randk_drawidx1_seed1,1,0.3428,0.4132,0.3780,0.3989,0.0009,-0.0056
hum80_draw2,hum80,dsmc,pilot1pctES_hum80_draw2_dsmc_seed2,0,0.3644,0.4136,0.3890,0.4036,0.0000,0.0000
hum80_draw2,hum80,randk,pilot1pctES_randk_drawidx2_seed2,1,0.3492,0.3945,0.3718,0.3853,0.0172,0.0183
hum80_draw3,hum80,dsmc,pilot1pctES_hum80_draw3_dsmc_seed3,0,0.3641,0.4085,0.3863,0.3995,0.0000,0.0000
hum80_draw3,hum80,randk,pilot1pctES_randk_drawidx3_seed3,1,0.3673,0.4204,0.3938,0.4096,-0.0075,-0.0101
hum80_draw4,hum80,dsmc,pilot1pctES_hum80_draw4_dsmc_seed4,0,0.3574,0.4062,0.3818,0.3963,0.0000,0.0000
hum80_draw4,hum80,randk,pilot1pctES_randk_drawidx4_seed4,1,0.3574,0.4162,0.3868,0.4042,-0.0050,-0.0080
