draw,direction,method,adapter_id,shared,stem,hum,balanced,target_weighted,dsmc_minus_method_balanced,dsmc_minus_method_target_weighted
stem80_draw0,stem80,dsmc,pilot1pct_stem80_draw0_dsmc_seed42,0,0.3692,0.4270,0.3981,0.3809,0.0000,0.0000
stem80_draw0,stem80,less,pilot1pct_stem80_draw0_less_seed42,0,0.3698,0.4193,0.3946,0.3799,0.0035,0.0010
stem80_draw0,stem80,first_rr,pilot1pct_stem80_draw0_first_rr_seed42,0,0.3438,0.4189,0.3814,0.3591,0.0167,0.0219
stem80_draw0,stem80,second_rr,pilot1pct_stem80_draw0_second_rr_seed42,0,0.3660,0.4393,0.4027,0.3809,-0.0046,0.0000
stem80_draw0,stem80,gist,pilot1pct_stem80_draw0_gist_seed42,0,0.3650,0.4317,0.3984,0.3786,-0.0003,0.0023
stem80_draw0,stem80,nice,pilot1pct_stem80_draw0_nice_seed42,0,0.3486,0.4198,0.3842,0.3630,0.0139,0.0179
stem80_draw0,stem80,randk,pilot1pct_randk_drawidx0_seed42,1,0.3800,0.4368,0.4084,0.3915,-0.0103,-0.0106
stem80_draw0,stem80,randk_lenmatch,pilot1pct_stem80_draw0_randk_lenmatch_seed42,0,0.3882,0.4336,0.4109,0.3974,-0.0128,-0.0165
stem80_draw1,stem80,dsmc,pilot1pct_stem80_draw1_dsmc_seed1,0,0.3739,0.4338,0.4039,0.3861,0.0000,0.0000
stem80_draw1,stem80,less,pilot1pct_stem80_draw1_less_seed1,0,0.3663,0.4187,0.3925,0.3770,0.0114,0.0091
stem80_draw1,stem80,first_rr,pilot1pct_stem80_draw1_first_rr_seed1,0,0.3324,0.4081,0.3702,0.3478,0.0336,0.0383
stem80_draw1,stem80,second_rr,pilot1pct_stem80_draw1_second_rr_seed1,0,0.3723,0.4380,0.4052,0.3857,-0.0013,0.0004
stem80_draw1,stem80,gist,pilot1pct_stem80_draw1_gist_seed1,0,0.3663,0.4253,0.3958,0.3783,0.0081,0.0078
stem80_draw1,stem80,nice,pilot1pct_stem80_draw1_nice_seed1,0,0.3520,0.4028,0.3774,0.3623,0.0265,0.0237
stem80_draw1,stem80,randk,pilot1pct_randk_drawidx1_seed1,1,0.3841,0.4383,0.4112,0.3951,-0.0073,-0.0090
stem80_draw1,stem80,randk_lenmatch,pilot1pct_stem80_draw1_randk_lenmatch_seed1,0,0.3793,0.4310,0.4052,0.3898,-0.0013,-0.0037
stem80_draw2,stem80,dsmc,pilot1pct_stem80_draw2_dsmc_seed2,0,0.3704,0.4285,0.3995,0.3822,0.0000,0.0000
stem80_draw2,stem80,less,pilot1pct_stem80_draw2_less_seed2,0,0.3761,0.4274,0.4018,0.3866,-0.0023,-0.0043
stem80_draw2,stem80,first_rr,pilot1pct_stem80_draw2_first_rr_seed2,0,0.3825,0.4306,0.4065,0.3923,-0.0071,-0.0100
stem80_draw2,stem80,second_rr,pilot1pct_stem80_draw2_second_rr_seed2,0,0.3704,0.4327,0.4016,0.3831,-0.0021,-0.0009
stem80_draw2,stem80,gist,pilot1pct_stem80_draw2_gist_seed2,0,0.3828,0.4385,0.4106,0.3941,-0.0112,-0.0119
stem80_draw2,stem80,nice,pilot1pct_stem80_draw2_nice_seed2,0,0.3679,0.4119,0.3899,0.3768,0.0096,0.0054
stem80_draw2,stem80,randk,pilot1pct_randk_drawidx2_seed2,1,0.3901,0.4308,0.4105,0.3984,-0.0110,-0.0161
stem80_draw2,stem80,randk_lenmatch,pilot1pct_stem80_draw2_randk_lenmatch_seed2,0,0.3850,0.4342,0.4096,0.3950,-0.0102,-0.0128
stem80_draw3,stem80,dsmc,pilot1pct_stem80_draw3_dsmc_seed3,0,0.3793,0.4268,0.4031,0.3890,0.0000,0.0000
stem80_draw3,stem80,less,pilot1pct_stem80_draw3_less_seed3,0,0.3654,0.4172,0.3913,0.3759,0.0118,0.0131
stem80_draw3,stem80,first_rr,pilot1pct_stem80_draw3_first_rr_seed3,0,0.3463,0.4140,0.3802,0.3601,0.0229,0.0289
stem80_draw3,stem80,second_rr,pilot1pct_stem80_draw3_second_rr_seed3,0,0.3546,0.4310,0.3928,0.3701,0.0102,0.0188
stem80_draw3,stem80,gist,pilot1pct_stem80_draw3_gist_seed3,0,0.3622,0.4227,0.3925,0.3745,0.0106,0.0145
stem80_draw3,stem80,nice,pilot1pct_stem80_draw3_nice_seed3,0,0.3622,0.4346,0.3984,0.3769,0.0046,0.0121
stem80_draw3,stem80,randk,pilot1pct_randk_drawidx3_seed3,1,0.3819,0.4338,0.4078,0.3924,-0.0048,-0.0034
stem80_draw3,stem80,randk_lenmatch,pilot1pct_stem80_draw3_randk_lenmatch_seed3,0,0.3752,0.4312,0.4032,0.3866,-0.0002,0.0024
stem80_draw4,stem80,dsmc,pilot1pct_stem80_draw4_dsmc_seed4,0,0.3689,0.4289,0.3989,0.3811,0.0000,0.0000
stem80_draw4,stem80,less,pilot1pct_stem80_draw4_less_seed4,0,0.3647,0.4202,0.3925,0.3760,0.0064,0.0051
stem80_draw4,stem80,first_rr,pilot1pct_stem80_draw4_first_rr_seed4,0,0.3584,0.4308,0.3946,0.3731,0.0043,0.0080
stem80_draw4,stem80,second_rr,pilot1pct_stem80_draw4_second_rr_seed4,0,0.3768,0.4383,0.4075,0.3893,-0.0086,-0.0082
stem80_draw4,stem80,gist,pilot1pct_stem80_draw4_gist_seed4,0,0.3676,0.4276,0.3976,0.3798,0.0013,0.0013
stem80_draw4,stem80,nice,pilot1pct_stem80_draw4_nice_seed4,0,0.3305,0.4147,0.3726,0.3476,0.0263,0.0335
stem80_draw4,stem80,randk,pilot1pct_randk_drawidx4_seed4,1,0.3850,0.4340,0.4095,0.3950,-0.0106,-0.0139
stem80_draw4,stem80,randk_lenmatch,pilot1pct_stem80_draw4_randk_lenmatch_seed4,0,0.3828,0.4319,0.4073,0.3928,-0.0085,-0.0117
hum80_draw0,hum80,dsmc,pilot1pct_hum80_draw0_dsmc_seed42,0,0.3749,0.4274,0.4011,0.4167,0.0000,0.0000
hum80_draw0,hum80,less,pilot1pct_hum80_draw0_less_seed42,0,0.3723,0.4191,0.3957,0.4096,0.0054,0.0071
hum80_draw0,hum80,first_rr,pilot1pct_hum80_draw0_first_rr_seed42,0,0.3451,0.4091,0.3771,0.3961,0.0240,0.0206
hum80_draw0,hum80,second_rr,pilot1pct_hum80_draw0_second_rr_seed42,0,0.3622,0.4402,0.4012,0.4243,-0.0000,-0.0076
hum80_draw0,hum80,gist,pilot1pct_hum80_draw0_gist_seed42,0,0.3581,0.4204,0.3892,0.4077,0.0119,0.0090
hum80_draw0,hum80,nice,pilot1pct_hum80_draw0_nice_seed42,0,0.3844,0.4446,0.4145,0.4324,-0.0134,-0.0157
hum80_draw0,hum80,randk,pilot1pct_randk_drawidx0_seed42,1,0.3800,0.4368,0.4084,0.4252,-0.0072,-0.0085
hum80_draw0,hum80,randk_lenmatch,pilot1pct_hum80_draw0_randk_lenmatch_seed42,0,0.3866,0.4436,0.4151,0.4320,-0.0139,-0.0153
hum80_draw1,hum80,dsmc,pilot1pct_hum80_draw1_dsmc_seed1,0,0.3825,0.4319,0.4072,0.4218,0.0000,0.0000
hum80_draw1,hum80,less,pilot1pct_hum80_draw1_less_seed1,0,0.3635,0.4183,0.3909,0.4071,0.0163,0.0147
hum80_draw1,hum80,first_rr,pilot1pct_hum80_draw1_first_rr_seed1,0,0.3600,0.4174,0.3887,0.4058,0.0185,0.0161
hum80_draw1,hum80,second_rr,pilot1pct_hum80_draw1_second_rr_seed1,0,0.3587,0.4321,0.3954,0.4172,0.0118,0.0047
hum80_draw1,hum80,gist,pilot1pct_hum80_draw1_gist_seed1,0,0.3806,0.4200,0.4003,0.4120,0.0069,0.0099
hum80_draw1,hum80,nice,pilot1pct_hum80_draw1_nice_seed1,0,0.3752,0.4410,0.4081,0.4277,-0.0009,-0.0058
hum80_draw1,hum80,randk,pilot1pct_randk_drawidx1_seed1,1,0.3841,0.4383,0.4112,0.4273,-0.0040,-0.0054
hum80_draw1,hum80,randk_lenmatch,pilot1pct_hum80_draw1_randk_lenmatch_seed1,0,0.3803,0.4327,0.4065,0.4221,0.0007,-0.0002
hum80_draw2,hum80,dsmc,pilot1pct_hum80_draw2_dsmc_seed2,0,0.3730,0.4300,0.4015,0.4184,0.0000,0.0000
hum80_draw2,hum80,less,pilot1pct_hum80_draw2_less_seed2,0,0.3660,0.4176,0.3918,0.4072,0.0097,0.0112
hum80_draw2,hum80,first_rr,pilot1pct_hum80_draw2_first_rr_seed2,0,0.3241,0.4004,0.3623,0.3849,0.0392,0.0335
hum80_draw2,hum80,second_rr,pilot1pct_hum80_draw2_second_rr_seed2,0,0.3559,0.4336,0.3947,0.4178,0.0068,0.0006
hum80_draw2,hum80,gist,pilot1pct_hum80_draw2_gist_seed2,0,0.3428,0.4094,0.3761,0.3958,0.0254,0.0225
hum80_draw2,hum80,nice,pilot1pct_hum80_draw2_nice_seed2,0,0.3644,0.4285,0.3964,0.4155,0.0050,0.0029
hum80_draw2,hum80,randk,pilot1pct_randk_drawidx2_seed2,1,0.3901,0.4308,0.4105,0.4225,-0.0090,-0.0042
hum80_draw2,hum80,randk_lenmatch,pilot1pct_hum80_draw2_randk_lenmatch_seed2,0,0.3844,0.4374,0.4109,0.4266,-0.0094,-0.0082
