method,target,mean,std,n,raw
less_sgd,bbh,0.38124,0.00630,5,"[0.38190688262873623, 0.38719883775295766, 0.371925155577846, 0.3866274131184089, 0.3785552814677206]"
less_sgd,mmlu,0.44622,0.00500,5,"[0.4517162797322319, 0.4426007691212078, 0.44801310354650337, 0.44922375729952996, 0.4395385272753169]"
less_sgd,tydiqa,0.57128,0.01750,5,"[0.5670884884381471, 0.5475785585581812, 0.5760194978210845, 0.5695486182252552, 0.5961858376868736]"
mmd_grad_rbf_sgd,bbh,0.37928,0.00586,5,"[0.3766373325312202, 0.38242689593347357, 0.3709521891862701, 0.38638433528426186, 0.38000732815331406]"
mmd_grad_rbf_sgd,mmlu,0.45501,0.00751,5,"[0.46446375160233583, 0.44552058111380144, 0.4601908560034183, 0.4541375872382851, 0.45071927075915114]"
mmd_grad_rbf_sgd,tydiqa,0.54329,0.04187,5,"[0.5017825925247478, 0.49645689106622437, 0.5642011341018156, 0.5631502489831179, 0.5908591451590597]"
mmd_grad_cov_sgd,bbh,0.38790,0.00813,5,"[0.3909921482721598, 0.3963885756434717, 0.3757415005716031, 0.3923725871559533, 0.38399396317809337]"
mmd_grad_cov_sgd,mmlu,0.45650,0.00713,5,"[0.46268337843612023, 0.4491525423728814, 0.46026207093006694, 0.4620424440962826, 0.4483691781797465]"
mmd_grad_cov_sgd,tydiqa,0.57001,0.02881,5,"[0.5188461349241135, 0.577141962598874, 0.5832603703557296, 0.5859253440284756, 0.5848999331738094]"
less_adam,bbh,0.38517,0.00651,5,"[0.38830580898239275, 0.38493997183763495, 0.38198324116440174, 0.39395975905267977, 0.3766749606358837]"
less_adam,mmlu,0.44544,0.00756,5,"[0.4448084318473152, 0.4468024497934767, 0.45698618430423016, 0.44224469448796466, 0.43633385557612875]"
less_adam,tydiqa,0.55782,0.04435,5,"[0.5732887672657863, 0.48220911050478854, 0.5707664694492043, 0.5636599895578538, 0.5991740981822594]"
mmd_grad_rbf_adam,bbh,0.36148,0.00912,5,"[0.363383553382485, 0.36940261600696744, 0.36351339108535646, 0.36534248751949233, 0.3457569108865182]"
mmd_grad_rbf_adam,mmlu,0.44126,0.00728,5,"[0.44374020794758584, 0.4390400227887765, 0.45086170061244835, 0.4418174049280729, 0.4308503062241846]"
mmd_grad_rbf_adam,tydiqa,0.56566,0.00786,5,"[0.5765288675348261, 0.5599216044605436, 0.5712279377995965, 0.5583509569585202, 0.5622765008930138]"
mmd_grad_cov_adam,bbh,0.36959,0.00560,5,"[0.36905228486856206, 0.3671755374519184, 0.36174969686787817, 0.3749804922685801, 0.3749678356355827]"
mmd_grad_cov_adam,mmlu,0.45387,0.00946,5,"[0.4616863694630394, 0.4491525423728814, 0.4621136590229312, 0.45663010967098705, 0.4397521720552628]"
mmd_grad_cov_adam,tydiqa,0.57940,0.00728,5,"[0.585735096965516, 0.5695631253822042, 0.5739344241085907, 0.5822754008042677, 0.5854724578514774]"
mmd_emb_rbf,bbh,0.39612,0.00394,5,"[0.3926865515241689, 0.3957177931170634, 0.3953019886717068, 0.3940662007325898, 0.40284480869989103]"
mmd_emb_rbf,mmlu,0.44477,0.00275,5,"[0.4445947870673693, 0.4417461900014243, 0.4426719840478564, 0.4485828229596924, 0.4462327303802877]"
mmd_emb_rbf,tydiqa,0.55155,0.00657,5,"[0.543545368399952, 0.5610355425445528, 0.5541711999929413, 0.5482448271777784, 0.5507714747576131]"
mmd_emb_rbf_stochastic,bbh,0.39393,0.00405,5,"[0.3893924961878136, 0.3974725553207929, 0.39088847947952154, 0.3932105234486242, 0.39869428128277]"
mmd_emb_rbf_stochastic,mmlu,0.44502,0.00150,5,"[0.44502207662726107, 0.44302805868109957, 0.4443099273607748, 0.44701609457342256, 0.44573422589374734]"
mmd_emb_rbf_stochastic,tydiqa,0.55246,0.00536,5,"[0.5457759901679021, 0.5606585527641138, 0.5525184976400271, 0.5506875076733393, 0.5526569344273469]"
tsds,bbh,0.39741,0.00469,5,"[0.40065070262786856, 0.40334431922248914, 0.394002556141136, 0.3918699812180787, 0.39716053636346266]"
tsds,mmlu,0.45864,0.00200,5,"[0.4607605754166073, 0.46047571571001283, 0.4564876798176898, 0.4586953425437972, 0.4567725395242843]"
tsds,tydiqa,0.56050,0.00643,5,"[0.5652023215515974, 0.5517279003775825, 0.5630384394846151, 0.5666678837979792, 0.5558486232108897]"
nice,bbh,0.39183,0.00494,5,"[0.3849439355787806, 0.3928280224280731, 0.39384492542576366, 0.3894396935581555, 0.3980944035812436]"
nice,mmlu,0.46166,0.00710,5,"[0.4539951573849879, 0.453781512605042, 0.4666714143284432, 0.4671699188149836, 0.4666714143284432]"
nice,tydiqa,0.57468,0.01374,5,"[0.5720454847739195, 0.5775265226444114, 0.5700753841234371, 0.595722452275547, 0.558050818938283]"
