draw,direction,method,adapter_id,shared,stem,hum,balanced,target_weighted,dsmc_minus_method_balanced,dsmc_minus_method_target_weighted
stem80_draw0,stem80,dsmc,pilot1pct_stem80_draw0_dsmc_seed42,0,0.3692,0.4270,0.3981,0.3809,0.0000,0.0000
stem80_draw0,stem80,less,pilot1pct_stem80_draw0_less_seed42,0,,,,,,
stem80_draw0,stem80,first_rr,pilot1pct_stem80_draw0_first_rr_seed42,0,,,,,,
stem80_draw0,stem80,second_rr,pilot1pct_stem80_draw0_second_rr_seed42,0,,,,,,
stem80_draw0,stem80,gist,pilot1pct_stem80_draw0_gist_seed42,0,,,,,,
stem80_draw0,stem80,nice,pilot1pct_stem80_draw0_nice_seed42,0,,,,,,
stem80_draw0,stem80,randk,pilot1pct_randk_drawidx0_seed42,1,0.3800,0.4368,0.4084,0.3915,-0.0103,-0.0106
stem80_draw0,stem80,randk_lenmatch,pilot1pct_stem80_draw0_randk_lenmatch_seed42,0,0.3882,0.4336,0.4109,0.3974,-0.0128,-0.0165
stem80_draw1,stem80,dsmc,pilot1pct_stem80_draw1_dsmc_seed1,0,,,,,,
stem80_draw1,stem80,less,pilot1pct_stem80_draw1_less_seed1,0,,,,,,
stem80_draw1,stem80,first_rr,pilot1pct_stem80_draw1_first_rr_seed1,0,,,,,,
stem80_draw1,stem80,second_rr,pilot1pct_stem80_draw1_second_rr_seed1,0,,,,,,
stem80_draw1,stem80,gist,pilot1pct_stem80_draw1_gist_seed1,0,,,,,,
stem80_draw1,stem80,nice,pilot1pct_stem80_draw1_nice_seed1,0,,,,,,
stem80_draw1,stem80,randk,pilot1pct_randk_drawidx1_seed1,1,,,,,,
stem80_draw1,stem80,randk_lenmatch,pilot1pct_stem80_draw1_randk_lenmatch_seed1,0,,,,,,
stem80_draw2,stem80,dsmc,pilot1pct_stem80_draw2_dsmc_seed2,0,,,,,,
stem80_draw2,stem80,less,pilot1pct_stem80_draw2_less_seed2,0,,,,,,
stem80_draw2,stem80,first_rr,pilot1pct_stem80_draw2_first_rr_seed2,0,,,,,,
stem80_draw2,stem80,second_rr,pilot1pct_stem80_draw2_second_rr_seed2,0,,,,,,
stem80_draw2,stem80,gist,pilot1pct_stem80_draw2_gist_seed2,0,,,,,,
stem80_draw2,stem80,nice,pilot1pct_stem80_draw2_nice_seed2,0,,,,,,
stem80_draw2,stem80,randk,pilot1pct_randk_drawidx2_seed2,1,,,,,,
stem80_draw2,stem80,randk_lenmatch,pilot1pct_stem80_draw2_randk_lenmatch_seed2,0,,,,,,
stem80_draw3,stem80,dsmc,pilot1pct_stem80_draw3_dsmc_seed3,0,,,,,,
stem80_draw3,stem80,less,pilot1pct_stem80_draw3_less_seed3,0,,,,,,
