draw,direction,method,adapter_id,shared,stem,hum,balanced,target_weighted,dsmc_minus_method_balanced,dsmc_minus_method_target_weighted
stem80_draw0,stem80,dsmc,stem80_draw0_dsmc_seed42,0,0.3885,0.4329,0.4107,0.3975,0.0000,0.0000
stem80_draw0,stem80,less,stem80_draw0_less_seed42,0,0.3895,0.4134,0.4014,0.3943,0.0093,0.0032
stem80_draw0,stem80,first_rr,stem80_draw0_first_rr_seed42,0,0.3717,0.4174,0.3946,0.3810,0.0162,0.0165
stem80_draw0,stem80,second_rr,stem80_draw0_second_rr_seed42,0,0.3717,0.4283,0.4000,0.3832,0.0107,0.0143
stem80_draw0,stem80,gist,stem80_draw0_gist_seed42,0,0.3676,0.4159,0.3918,0.3774,0.0190,0.0201
stem80_draw0,stem80,nice,stem80_draw0_nice_seed42,0,0.3609,0.4264,0.3936,0.3742,0.0171,0.0233
stem80_draw0,stem80,randk,randk_drawidx0_seed42,1,0.3815,0.4312,0.4064,0.3916,0.0043,0.0059
stem80_draw0,stem80,randk_lenmatch,stem80_draw0_randk_lenmatch_seed42,0,0.3812,0.4272,0.4042,0.3906,0.0065,0.0070
stem80_draw1,stem80,dsmc,stem80_draw1_dsmc_seed1,0,0.3689,0.4272,0.3980,0.3807,0.0000,0.0000
stem80_draw1,stem80,less,stem80_draw1_less_seed1,0,0.3784,0.4032,0.3908,0.3834,0.0073,-0.0027
stem80_draw1,stem80,first_rr,stem80_draw1_first_rr_seed1,0,0.3635,0.4091,0.3863,0.3727,0.0117,0.0080
stem80_draw1,stem80,second_rr,stem80_draw1_second_rr_seed1,0,0.3587,0.4168,0.3877,0.3705,0.0103,0.0102
stem80_draw1,stem80,gist,stem80_draw1_gist_seed1,0,0.3800,0.4147,0.3973,0.3870,0.0007,-0.0063
stem80_draw1,stem80,nice,stem80_draw1_nice_seed1,0,0.3460,0.3943,0.3701,0.3558,0.0279,0.0249
stem80_draw1,stem80,randk,randk_drawidx1_seed1,1,0.3746,0.4302,0.4024,0.3859,-0.0043,-0.0052
stem80_draw1,stem80,randk_lenmatch,stem80_draw1_randk_lenmatch_seed1,0,0.3803,0.4357,0.4080,0.3915,-0.0100,-0.0108
hum80_draw0,hum80,dsmc,hum80_draw0_dsmc_seed42,0,0.3860,0.4310,0.4085,0.4219,0.0000,0.0000
hum80_draw0,hum80,less,hum80_draw0_less_seed42,0,0.3933,0.4087,0.4010,0.4056,0.0075,0.0163
hum80_draw0,hum80,first_rr,hum80_draw0_first_rr_seed42,0,0.3695,0.4081,0.3888,0.4002,0.0197,0.0216
hum80_draw0,hum80,second_rr,hum80_draw0_second_rr_seed42,0,0.3666,0.4308,0.3987,0.4178,0.0098,0.0041
hum80_draw0,hum80,gist,hum80_draw0_gist_seed42,0,0.3511,0.3896,0.3703,0.3818,0.0382,0.0401
hum80_draw0,hum80,nice,hum80_draw0_nice_seed42,0,0.4003,0.4357,0.4180,0.4285,-0.0095,-0.0066
hum80_draw0,hum80,randk,randk_drawidx0_seed42,1,0.3815,0.4312,0.4064,0.4211,0.0021,0.0007
hum80_draw0,hum80,randk_lenmatch,hum80_draw0_randk_lenmatch_seed42,0,0.3749,0.4249,0.3999,0.4147,0.0086,0.0072
hum80_draw1,hum80,dsmc,hum80_draw1_dsmc_seed1,0,0.3815,0.4191,0.4003,0.4115,0.0000,0.0000
hum80_draw1,hum80,less,hum80_draw1_less_seed1,0,0.3822,0.4121,0.3971,0.4060,0.0032,0.0055
hum80_draw1,hum80,first_rr,hum80_draw1_first_rr_seed1,0,0.3692,0.4176,0.3934,0.4078,0.0069,0.0037
hum80_draw1,hum80,second_rr,hum80_draw1_second_rr_seed1,0,0.3720,0.4196,0.3958,0.4099,0.0045,0.0016
hum80_draw1,hum80,gist,hum80_draw1_gist_seed1,0,0.3847,0.4051,0.3949,0.4010,0.0054,0.0105
hum80_draw1,hum80,nice,hum80_draw1_nice_seed1,0,0.3654,0.4264,0.3959,0.4140,0.0045,-0.0025
hum80_draw1,hum80,randk,randk_drawidx1_seed1,1,0.3746,0.4302,0.4024,0.4189,-0.0020,-0.0074
hum80_draw1,hum80,randk_lenmatch,hum80_draw1_randk_lenmatch_seed1,0,0.3834,0.4281,0.4057,0.4190,-0.0054,-0.0075
