draw,direction,method,adapter_id,shared,stem,hum,balanced,target_weighted,dsmc_minus_method_balanced,dsmc_minus_method_target_weighted
stem80_draw0,stem80,dsmc,stem80_draw0_dsmc_seed42,0,0.3885,0.4329,0.4107,0.3975,0.0000,0.0000
stem80_draw0,stem80,less,stem80_draw0_less_seed42,0,,,,,,
stem80_draw0,stem80,first_rr,stem80_draw0_first_rr_seed42,0,,,,,,
stem80_draw0,stem80,second_rr,stem80_draw0_second_rr_seed42,0,,,,,,
stem80_draw0,stem80,gist,stem80_draw0_gist_seed42,0,,,,,,
stem80_draw0,stem80,nice,stem80_draw0_nice_seed42,0,,,,,,
stem80_draw0,stem80,randk,randk_drawidx0_seed42,1,0.3815,0.4312,0.4064,0.3916,0.0043,0.0059
stem80_draw0,stem80,randk_lenmatch,stem80_draw0_randk_lenmatch_seed42,0,,,,,,
stem80_draw1,stem80,dsmc,stem80_draw1_dsmc_seed1,0,,,,,,
stem80_draw1,stem80,less,stem80_draw1_less_seed1,0,,,,,,
stem80_draw1,stem80,first_rr,stem80_draw1_first_rr_seed1,0,,,,,,
stem80_draw1,stem80,second_rr,stem80_draw1_second_rr_seed1,0,,,,,,
stem80_draw1,stem80,gist,stem80_draw1_gist_seed1,0,,,,,,
stem80_draw1,stem80,nice,stem80_draw1_nice_seed1,0,,,,,,
stem80_draw1,stem80,randk,randk_drawidx1_seed1,1,,,,,,
stem80_draw1,stem80,randk_lenmatch,stem80_draw1_randk_lenmatch_seed1,0,,,,,,
hum80_draw0,hum80,dsmc,hum80_draw0_dsmc_seed42,0,,,,,,
hum80_draw0,hum80,less,hum80_draw0_less_seed42,0,,,,,,
hum80_draw0,hum80,first_rr,hum80_draw0_first_rr_seed42,0,,,,,,
hum80_draw0,hum80,second_rr,hum80_draw0_second_rr_seed42,0,,,,,,
hum80_draw0,hum80,gist,hum80_draw0_gist_seed42,0,,,,,,
hum80_draw0,hum80,nice,hum80_draw0_nice_seed42,0,,,,,,
hum80_draw0,hum80,randk,randk_drawidx0_seed42,1,0.3815,0.4312,0.4064,0.4211,,
hum80_draw0,hum80,randk_lenmatch,hum80_draw0_randk_lenmatch_seed42,0,,,,,,
hum80_draw1,hum80,dsmc,hum80_draw1_dsmc_seed1,0,,,,,,
hum80_draw1,hum80,less,hum80_draw1_less_seed1,0,,,,,,
hum80_draw1,hum80,first_rr,hum80_draw1_first_rr_seed1,0,,,,,,
hum80_draw1,hum80,second_rr,hum80_draw1_second_rr_seed1,0,,,,,,
hum80_draw1,hum80,gist,hum80_draw1_gist_seed1,0,,,,,,
hum80_draw1,hum80,nice,hum80_draw1_nice_seed1,0,,,,,,
hum80_draw1,hum80,randk,randk_drawidx1_seed1,1,,,,,,
hum80_draw1,hum80,randk_lenmatch,hum80_draw1_randk_lenmatch_seed1,0,,,,,,
